希望n 希望v
以c 以p
落成vn 落成vi
新都n 新都ns
到v 到p
成功an 成功a
本西德nr 本西德wkz
安第斯ns 安第斯ul
因为p 因为c
安第斯ns 安第斯vn
热情洋溢la 热情洋溢a
欣闻v 欣闻wyz
有vx 有v
相互b 相互d
借鉴vn 借鉴v
起到v 起到dc
成功an 成功a
倡议者n 倡议者wu
亦可vi 亦可ui
因为c 因为p
祝贺v 祝贺vn
为p 为vl
演讲vn 演讲wm
演讲vn 演讲vi
为p 为vl
建议v 建议n
组织v 组织n
增长v 增长vn
供给vn 供给v
来vq 来vi
持续vd 持续vn
２·５５m ２·５５nrf
倍ql 倍nrg
１·１４m １·１４nrf
倍ql 倍nrg
２·７m ２·７nrf
倍ql 倍nrg
１·０２m １·０２nrf
倍ql 倍nrg
为vl 为p
立国vi 立国vn
才c 才d
希望n 希望v
吸取vn 吸取v
利用vn 利用v
点qb 点n
值得v 值得vu
安全a 安全an
关系v 关系n
发展vn 发展v
１４·８％m １４·８％vq
根据n 根据p
限制v 限制vn
参与vn 参与v
控股vi 控股vn
收购v 收购vn
明确a 明确v
壁Ng 壁qe
一d 一m
因c 因p
开挖vn 开挖v
珉君nr 珉君n
着v 着uz
中老年n 中老年wky
用v 用p
绸缎n 绸缎wky
用v 用p
及v 及c
领Ng 领v
扣Ng 扣v
衽衩口n 衽衩口vi
襟Ng 襟wd
边n 边d
带子n 带子y
蝴蝶扣n 蝴蝶扣vq
余下vn 余下v
部分n 部分m
长ad 长a
垂v 垂wd
款款而动l 款款而动wyy
轻盈a 轻盈dc
装饰性n 装饰性y
终年d 终年n
夏Tg 夏nrf
长a 长nrg
散热vi 散热ul
有关v 有关vn
普遍ad 普遍a
西双版纳ns 西双版纳vn
一般a 一般ad
长a 长v
及v 及c
上f 上v
多ad 多d
用v 用p
绯色n 绯色vn
绸料n 绸料vn
缝制v 缝制vn
领Ng 领v
对襟n 对襟rr
斜襟n 斜襟vn
衣袖n 衣袖dc
下装n 下装rr
际Ng 际f
窈窕a 窈窕f
与p 与c
西双版纳ns 西双版纳dc
如诗如画la 如诗如画a
曼妙无比z 曼妙无比i
忙a 忙v
自然a 自然n
长v 长a
羞v 羞a
长途跋涉iv 长途跋涉d
石头城ns 石头城vq
白d 白a
到v 到p
多m 多a
和p 和c
毡棚n 毡棚vq
迈皋桥ns 迈皋桥n
挂毯n 挂毯f
旁边f 旁边d
马刀n 马刀vn
满a 满v
顶f 顶qt
小方帽n 小方帽f
维族nz 维族m
小褂n 小褂qd
哈米提·铁木尔nr 哈米提·铁木尔ud
多a 多m
艾力肯nr 艾力肯nz
创作v 创作vn
为vl 为p
发展v 发展vn
团结a 团结v
为vl 为p
献礼vn 献礼vi
近a 近v
开放vn 开放v
引资国n 引资国y
投资vn 投资v
进展vi 进展vn
引进vn 引进v
侵害v 侵害vn
开放vn 开放v
开放vn 开放v
批示v 批示n
要求v 要求n
调整vn 调整v
中航j 中航wkz
中航j 中航wkz
哈飞j 哈飞ns
昌河j 昌河ns
东安j 东安nz
贵航j 贵航a
过去v 过去t
有vx 有v
水钢n 水钢ul
解困v 解困vn
改革vn 改革v
兼并v 兼并vn
破产vi 破产vn
定价n 定价vn
过d 过v
生产v 生产vn
流通vi 流通vn
折扣n 折扣nz
１６０１３１５m １６０１３１５vq
真a 真dc
像p 像vl
小姐n 小姐nrg
６２４万m ６２４万ud
赈灾vn 赈灾vi
拨款vn 拨款vi
申请n 申请v
遵义市ns 遵义市m
铁合金n 铁合金qe
泪n 泪vu
洒vi 洒v
财政部nt 财政部n
救治v 救治vn
９．３万m ９．３万ud
御寒衣n 御寒衣rr
住v 住vi
到v 到p
调出v 调出ud
合理ad 合理a
选择v 选择vn
事业部n 事业部wj
需要n 需要v
指导v 指导vn
经过v 经过p
及时a 及时ad
指导vn 指导v
正常ad 正常a
操作v 操作vn
维修v 维修vn
使用率n 使用率vn
专职v 专职wj
惠普nz 惠普m
服务vn 服务v
维护vn 维护v
保养vn 保养rr
到v 到p
更换v 更换vn
肥力n 肥力dc
可vu 可c
左云ns 左云wm
校校n 校校wyz
以p 以c
重v 重d
为vl 为p
政Ng 政d
为vl 为p
本n 本rz
为vl 为p
为vl 为p
德j 德jb
体j 体Ng
美j 美jb
劳j 劳Ng
统考v 统考n
联网vi 联网vn
将p 将d
飞播v 飞播ul
造林vi 造林vn
淀底s 淀底nrf
清淤v 清淤nrg
毛石n 毛石nrf
护坡n 护坡nrg
改造v 改造vn
机船n 机船wyy
近a 近v
白洋淀ns 白洋淀ud
演唱vn 演唱v
集Ng 集Vg
盘qe 盘qv
浑厚a 浑厚dc
霸王别姬lb 霸王别姬nz
哀怨a 哀怨rr
锁麟囊n 锁麟囊nz
渥太华市ns 渥太华市ad
人行道n 人行道vq
８６０m ８６０ul
维修v 维修vn
多a 多d
阿诺德nr 阿诺德d
支持v 支持vn
连v 连d
库斯科省ns 库斯科省a
圣特莱萨ns 圣特莱萨a
失踪v 失踪vn
受灾vi 受灾vn
平衡v 平衡a
构成n 构成v
合作v 合作vn
分歧v 分歧n
才c 才d
单方面d 单方面n
部分m 部分n
残害v 残害wd
宽恕v 宽恕n
近a 近v
投向vn 投向v
投向v 投向qe
投向v 投向qe
房地产商n 房地产商rr
举借v 举借qe
房地产商n 房地产商wyz
抵御vn 抵御v
改革v 改革vn
现代化vi 现代化vn
为vl 为p
监管v 监管vn
提议n 提议v
部分m 部分n
因c 因p
深夜t 深夜f
伤势n 伤势d
达莎nr 达莎d
现Tg 现d
堪培拉市ns 堪培拉市vn
图雷斯基ns 图雷斯基nr
检测v 检测vn
马n 马nrf
小林nr 小林nrg
检测v 检测vn
招数n 招数ui
可vu 可v
出v 出vq
大dc 大a
多a 多m
过去v 过去t
无所不包iv 无所不包t
准v 准a
亚h 亚jb
非h 非b
以c 以p
图v 图n
过d 过v
作为p 作为vl
势不可挡iv 势不可挡a
普及a 普及v
像vl 像p
光明n 光明a
赞Ng 赞wt
非常b 非常dc
到p 到v
层层q 层层d
度Ng 度v
千万m 千万df
不可v 不可vu
场场q 场场ad
出v 出qe
有vx 有v
在d 在p
有vx 有v
名团n 名团ad
场场q 场场df
名团n 名团ul
完整ad 完整a
合奏v 合奏d
配器vi 配器wky
乐章n 乐章qe
与c 与p
回qe 回qv
调性n 调性ns
传统a 传统n
演奏vn 演奏v
笛箫埙j 笛箫埙vn
独奏vi 独奏vn
横执v 横执wd
管Ng 管v
竹笛n 竹笛vn
三国tt 三国rz
兵荒马乱iv 兵荒马乱vn
肆虐无忌l 肆虐无忌vn
风流a 风流n
草莽n 草莽wky
深明大义i 深明大义vn
表彰v 表彰vn
艰苦卓绝ib 艰苦卓绝t
开创v 开创vn
１９２２年t １９２２年iv
安徒生奖nz 安徒生奖wj
为vl 为p
房龙nr 房龙rr
评选者n 评选者f
为p 为vl
由于c 由于p
与c 与p
有vx 有v
连缀v 连缀iv
有vx 有v
想象vn 想象v
想象vn 想象v
金融家n 金融家t
乔治·索罗斯nr 乔治·索罗斯t
索罗斯nr 索罗斯nz
索罗斯nr 索罗斯rr
访谈录n 访谈录vn
谈话vi 谈话vn
卡尔·波普nr 卡尔·波普f
影响v 影响vn
投资n 投资vn
另d 另rz
有vx 有v
雅俗共赏iv 雅俗共赏d
荒诞a 荒诞vn
出v 出vq
儒释道兵j 儒释道兵ns
有vx 有v
理想n 理想a
赏v 赏nrf
招法n 招法nrg
才c 才d
正宗b 正宗a
旁门左道in 旁门左道wky
张nrf 张qe
法nrg 法n
到p 到vq
统一v 统一a
实际a 实际n
著作v 著作n
薄薄的z 薄薄的nr
瓦尔登湖ns 瓦尔登湖nz
恬淡a 恬淡ns
像vl 像p
纯洁a 纯洁dc
像vl 像p
给v 给p
以p 以c
启迪v 启迪vn
纯净an 纯净a
译者n 译者wu
没有v 没有df
去vq 去vi
巅峰n 巅峰vi
隋Tg 隋w
唐Tg 唐nrf
渊源n 渊源nrf
略论稿n 略论稿nrg
元白j 元白nrf
诗n 诗nrg
笺证稿n 笺证稿Vg
寒柳堂nz 寒柳堂m
集Ng 集qe
艰深a 艰深an
代表v 代表n
心志术业篇n 心志术业篇nz
通解通识篇n 通解通识篇nz
文史互证篇n 文史互证篇nz
跋文n 跋文vn
及v 及c
登堂入室iv 登堂入室vi
１９１６年t １９１６年d
蓬莱ns 蓬莱t
习字vi 习字df
溥nrf 溥ns
心nrg 心n
为vl 为p
忘年交l 忘年交Ng
为vl 为p
多m 多a
勤学苦练iv 勤学苦练v
得v 得ue
真经n 真经i
白石nrg 白石rz
麟庐nrg 麟庐rr
白石nrg 白石ad
扁鱼n 扁鱼vq
胆n 胆dc
麟庐nrg 麟庐ns
艺Ng 艺vn
德n 德Ng
云Vg 云n
百花n 百花u
落笔vi 落笔dc
信手d 信手wd
随v 随p
眉飞色舞ia 眉飞色舞ad
垂v 垂rz
豪情n 豪情Tg
但d 但c
沉a 沉v
何ry 何nrf
足d 足nrg
陡峭a 陡峭rr
燕子垭ns 燕子垭vn
高空s 高空ul
吹拂v 吹拂f
群燕n 群燕ul
耳边s 耳边m
呢喃细语i 呢喃细语qd
烦扰vn 烦扰y
圆珠笔芯n 圆珠笔芯v
出v 出vq
清凉油n 清凉油nrf
盒Ng 盒nrg
核桃壳n 核桃壳nrf
难ad 难nrg
剥v 剥wky
房屋n 房屋nrf
渗水vi 渗水nrg
费解a 费解f
专心ad 专心ud
研究v 研究vn
小儿科n 小儿科nz
压根儿d 压根儿wd
生产v 生产vn
像vl 像p
盒Ng 盒wj
来vq 来f
一d 一m
拧v 拧qt
为vl 为p
牙膏袋式n 牙膏袋式rr
盒Ng 盒f
难a 难ad
制造v 制造vn
还是d 还是c
且慢ld 且慢dc
洋货n 洋货vx
降价vi 降价vn
和p 和c
连u 连d
剃须刀n 剃须刀f
败走麦城ia 败走麦城vn
出v 出vq
昧v 昧vi
二郎nr 二郎wyz
双杰j 双杰ad
千姿百态in 千姿百态vq
小小z 小小wyz
苍苍z 苍苍nrf
白发翁n 白发翁nrg
无名b 无名rr
捐款者n 捐款者v
到p 到vq
到p 到v
异口同声id 异口同声ad
还v 还d
愚钝a 愚钝vi
得v 得ue
汉字n 汉字dc
上千m 上千a
盖d 盖v
诊所n 诊所wyy
五脏俱全lv 五脏俱全vi
药铺n 药铺rr
归p 归v
满a 满v
药名n 药名a
少小n 少小dc
后园n 后园t
虫n 虫ry
再就是d 再就是ad
白纸黑字in 白纸黑字a
愣神儿v 愣神儿f
来v 来vi
后园n 后园t
来vi 来f
故宫ns 故宫wky
茶晶n 茶晶wu
梅花n 梅花nrf
花插n 花插nrg
青玉n 青玉nrf
山水n 山水nrg
方盒n 方盒wky
青玉n 青玉nrf
婴戏纹n 婴戏纹nrg
执壶n 执壶wky
有vx 有v
鸢尾花n 鸢尾花vq
阿尔nz 阿尔vn
脚印n 脚印vn
毕业vn 毕业v
毕业vn 毕业v
毕业vn 毕业v
江nr 江nrf
总书记n 总书记nrg
改革v 改革vn
发展v 发展vn
腐败an 腐败a
研讨v 研讨vn
交流v 交流vn
为p 为vl
开v 开vq
滞Vg 滞jb
彩虹厅n 彩虹厅d
发展vn 发展v
摘金夺银l 摘金夺银wj
分qt 分qd
夺冠vi 夺冠qd
分qt 分qd
分qt 分qd
朱皮娜nr 朱皮娜vn
瑟比娜nr 瑟比娜vu
潘家埠ns 潘家埠nz
石洞源村ns 石洞源村wyy
广州起义nz 广州起义lv
劫狱vn 劫狱ud
闽东ns 闽东vn
中f 中jb
组织v 组织n
南下vn 南下v
中南局nt 中南局ns
迫害v 迫害vn
中立vi 中立vn
和平n 和平a
卢克索ns 卢克索d
恐怖an 恐怖a
苏鲁尔nr 苏鲁尔wj
储蓄v 储蓄n
为vl 为p
编制v 编制n
估算vn 估算v
为vl 为p
近a 近v
反帝vi 反帝vn
封建an 封建a
建设v 建设vn
同行vi 同行n
辉煌a 辉煌an
有v 有vx
黯淡an 黯淡vn
有vx 有v
有vx 有v
导演v 导演n
一石多鸟i 一石多鸟a
愉悦a 愉悦wyz
才c 才d
不可v 不可vu
改革v 改革vn
开放v 开放vn
有vx 有v
为vl 为p
扩展vn 扩展v
前卫n 前卫vn
小剧场n 小剧场ad
化v 化k
为p 为vl
与c 与p
兴亡n 兴亡wj
战斗vi 战斗vn
实现vn 实现v
为vl 为p
控制v 控制vn
增强vn 增强v
改革v 改革vn
改革v 改革vn
要求v 要求n
三角债n 三角债ul
全面a 全面ad
至v 至p
共同富裕论n 共同富裕论wd
研究v 研究vn
有vx 有v
概括性n 概括性a
保护v 保护vn
加强vn 加强v
试行v 试行nz
建设v 建设vn
民主an 民主a
指挥vn 指挥v
来vq 来vi
总体性n 总体性a
与c 与p
财政学n 财政学ns
银行学n 银行学wky
片面性n 片面性f
均衡a 均衡ad
中观n 中观ns
决策vn 决策n
交互d 交互ud
作用vi 作用n
非h 非jb
均衡a 均衡jb
可能v 可能n
变动v 变动vn
稳定a 稳定vn
公正a 公正ad
开放a 开放v
研究v 研究vn
审计v 审计vn
在p 在v
出台vn 出台vi
深入a 深入v
落实vn 落实v
及时a 及时ad
反馈v 反馈vn
审计vn 审计v
下f 下v
至v 至p
有vx 有v
通过v 通过p
落实vn 落实v
审计vn 审计v
出让金n 出让金wky
纺织vn 纺织n
审计v 审计vn
为vl 为p
统筹v 统筹qe
规划v 规划n
合理ad 合理a
布局v 布局n
干鲜果品jn 干鲜果品jb
陕jb 陕ns
甘jb 甘nrf
新名优j 新名优nrf
果品n 果品nrg
木本b 木本nrf
药材n 药材nrg
调料n 调料ns
到p 到v
跳vi 跳v
钦州市ns 钦州市rr
由于p 由于c
提篮小卖l 提篮小卖nz
累累z 累累vq
剖析v 剖析p
运销v 运销qe
到v 到p
运销v 运销vn
农副产品jn 农副产品vn
到v 到p
收购点n 收购点vq
购销额n 购销额d
购销员n 购销员ud
流通vi 流通vn
购销员n 购销员ud
农副产品jn 农副产品f
购销额n 购销额wd
货畅其流lv 货畅其流f
比不上lv 比不上ud
生产v 生产vn
作为vl 作为p
开发vn 开发v
开发vn 开发v
作为vl 作为p
带动v 带动vn
有v 有vx
拓展vn 拓展v
发展vn 发展v
有意识v 有意识iv
半宙nz 半宙ud
荒坡n 荒坡ud
种植v 种植vn
现Tg 现d
为p 为vl
为vl 为p
代市长n 代市长nz
和c 和p
空缺vn 空缺n
有vx 有v
获奖数n 获奖数wj
５．８％m ５．８％n
０．９４％m ０．９４％y
投资vn 投资v
与p 与c
债务人n 债务人vn
对称a 对称vi
贷款vi 贷款n
贷款vi 贷款n
抵押v 抵押vn
发展vn 发展v
生产vn 生产v
比v 比p
零点五m 零点五nr
本d 本rz
为vl 为p
比v 比p
为vl 为p
关键n 关键a
健全v 健全a
银河—Ⅲnz 银河—Ⅲwkz
生产v 生产vn
器件n 器件wj
为vl 为p
９０９m ９０９nz
则c 则d
少a 少d
则c 则d
多a 多m
则c 则qe
出口vn 出口v
方正nz 方正d
怎么样ryw 怎么样ud
摄影vn 摄影vi
报道n 报道v
边防团n 边防团vl
北极ns 北极a
冰雪期n 冰雪期dc
拾金不昧iv 拾金不昧dc
果敢a 果敢qt
急ad 急v
驰Vg 驰ul
办公vi 办公vn
在d 在p
在d 在p
颤vi 颤t
级qz 级qe
有条不紊ia 有条不紊ui
上v 上vq
热汤面n 热汤面a
邢家梁村ns 邢家梁村t
老农n 老农p
给vu 给p
这样rzw 这样rz
怎么ryw 怎么ry
行a 行v
到v 到vq
统筹vd 统筹vn
考虑v 考虑vn
与c 与p
教育v 教育vn
现有vn 现有v
继续vn 继续v
教育vn 教育v
有vx 有v
改制vn 改制vi
发展vn 发展v
渊远流长i 渊远流长wky
夏Tg 夏nrf
商Tg 商n
周Tg 周nrf
三m 三nrg
代qj 代v
没有v 没有df
完整ad 完整a
可vu 可c
据Vg 据a
年代学n 年代学vn
遗憾an 遗憾a
解困v 解困vn
解困v 解困vn
将p 将d
为vl 为p
为p 为vl
运河nz 运河n
并d 并c
有vx 有v
改变vn 改变v
初f 初wky
中f 中jb
到v 到vq
到v 到vq
专d 专a
事Vg 事n
东方f 东方wyy
旅Vg 旅n
南jb 南f
之u 之rz
家n 家qe
花蕾n 花蕾nz
聚会vn 聚会vi
在v 在p
天生丽质i 天生丽质iv
碧绿z 碧绿dc
巧笑倩兮i 巧笑倩兮l
美目盼兮i 美目盼兮nz
难觅v 难觅vi
佳丽z 佳丽y
则c 则d
一d 一m
任v 任qv
文明n 文明a
有v 有vx
才c 才d
倒映vi 倒映vu
奇丽a 奇丽rr
温婉a 温婉rr
飘泊者n 飘泊者a
五一t 五一nz
龙吴nz 龙吴m
港务n 港务qe
３２．７％m ３２．７％wd
９３．７％m ９３．７％vn
键盘n 键盘wky
轻吃重玩l 轻吃重玩wj
０．８％m ０．８％wj
２．８％m ２．８％vn
了ul 了y
５．３m ５．３ww
８．８％m ８．８％vq
多a 多m
持续vd 持续vi
与c 与p
学习vn 学习v
专论n 专论wkz
摘编vn 摘编nz
辑录vn 辑录v
大事记n 大事记nz
之rz 之u
实录n 实录wky
系统a 系统n
有关vn 有关p
与c 与p
烂a 烂v
双qj 双m
胶鞋n 胶鞋qd
戳v 戳ad
由于p 由于c
恶劣an 恶劣a
至v 至p
２５１万m ２５１万c
１５６万m １５６万vq
引水渠n 引水渠ul
蓄水池n 蓄水池ul
不解v 不解id
有v 有vx
光n 光a
入学vn 入学vi
考试vn 考试vi
白a 白jb
毛n 毛jb
狂风暴雪i 狂风暴雪n
排险v 排险ul
为vl 为p
为vl 为p
正房n 正房ul
旁边f 旁边p
在d 在p
瞿家村ns 瞿家村n
来vi 来f
老丈人n 老丈人ul
连续ad 连续a
盈利vi 盈利n
代理v 代理vn
持续vd 持续vi
－１．４m －１．４qt
－３·１m －３·１qt
在v 在p
北电j 北电nz
广梁nr 广梁nz
徇私舞弊iv 徇私舞弊wky
贿赂案n 贿赂案wm
转发v 转发wyz
通报n 通报v
不满足感n 不满足感f
工作vi 工作vn
服务v 服务vn
艰苦奋斗iv 艰苦奋斗ul
传统n 传统a
上层建筑ln 上层建筑ud
衣食父母i 衣食父母a
有v 有vx
密切ad 密切a
联系v 联系vn
联系v 联系vn
才c 才d
才c 才d
有vx 有v
只有c 只有d
才c 才d
正a 正d
服务v 服务vn
来vi 来f
健全v 健全a
定点d 定点n
定人v 定人ud
管理v 管理vn
扫黄vn 扫黄vi
打丑vn 打丑ud
四五八m 四五八ud
满v 满a
眶Ng 眶y
大恩大德i 大恩大德vn
伢仔n 伢仔vi
头m 头n
想v 想vu
得ue 得v
存心d 存心vi
欺负v 欺负wj
首先c 首先d
意识vi 意识n
到vq 到p
做人vn 做人vi
点qb 点qe
起f 起vq
果能如此lv 果能如此wyy
人际关系n 人际关系ud
脏a 脏nz
乱a 乱nz
差a 差nz
爱护v 爱护vn
意Ng 意jb
在v 在p
批评v 批评vn
多少ry 多少rz
疑点n 疑点ns
伸张v 伸张vn
想v 想vu
比v 比p
会海n 会海nz
会荒n 会荒nz
现实n 现实a
又c 又d
创作v 创作vn
演出v 演出vn
远古t 远古nz
创作v 创作vn
盘古n 盘古m
篇Ng 篇qe
女娲nr 女娲m
篇Ng 篇qe
炎帝n 炎帝m
篇Ng 篇qe
黄帝n 黄帝m
篇Ng 篇qe
花n 花v
开v 开vq
为vl 为p
正中f 正中nrg
为vl 为p
保护v 保护vn
作品集n 作品集wyy
美协jn 美协t
捐赠vn 捐赠v
通过v 通过p
组织v 组织n
测试v 测试vn
鉴定v 鉴定vn
无中继b 无中继ud
出版vn 出版v
强Ng 强a
社科jb 社科ud
代理制n 代理制a
连锁vi 连锁vn
经营v 经营vn
改革vn 改革v
发展v 发展vn
武装v 武装vn
治散治滥l 治散治滥c
资料性n 资料性ud
扫黄vn 扫黄vi
打非vn 打非nz
组织n 组织v
因p 因c
战犯n 战犯nrf
遣返vn 遣返nrg
塔希尔nr 塔希尔vq
印jb 印v
联合vn 联合v
贸易vi 贸易vn
自由化vi 自由化vn
到p 到vq
非关税壁垒b 非关税壁垒vn
保护性b 保护性vn
非互惠b 非互惠rr
发达国家ln 发达国家vu
特许vn 特许v
以c 以p
土jb 土n
从政vn 从政vi
来vi 来v
科托努ns 科托努wu
腐败an 腐败a
科托努ns 科托努d
与p 与c
斗争v 斗争vn
腐败an 腐败a
腐败an 腐败a
腐败an 腐败a
惩罚v 惩罚ul
腐败an 腐败a
对外vd 对外vi
排他v 排他vi
发展v 发展vn
发展v 发展vn
来vi 来f
自民党n 自民党t
先驱新党n 先驱新党ad
在野党派n 在野党派a
与c 与p
抗癌vn 抗癌wky
胡萝卜n 胡萝卜ns
绿茶n 绿茶vn
哈瓦特nr 哈瓦特ud
由于c 由于p
偏食vi 偏食vl
维生素n 维生素ui
效力n 效力vi
意大利队nt 意大利队vu
金j 金Ng
银j 银Ng
铜j 铜n
俄罗斯队nt 俄罗斯队nr
金j 金Ng
银j 银Ng
铜j 铜n
金j 金Ng
银j 银Ng
铜j 铜n
打击vn 打击v
以法治赛l 以法治赛iv
游泳vi 游泳vn
举重vi 举重nz
游泳vi 游泳vn
比赛v 比赛vn
１１∶１m １１∶１wky
１１∶４m １１∶４nrf
轻松ad 轻松nrg
ＮＥＣ杯nz ＮＥＣ杯jb
９８∶６７m ９８∶６７rr
７０∶６９m ７０∶６９rr
给p 给v
日本队nt 日本队a
此行rz 此行wu
侦察v 侦察wyz
哈萨克斯坦队nt 哈萨克斯坦队wj
伊朗队nt 伊朗队a
准备v 准备vn
盼头n 盼头vq
头儿n 头儿rr
头儿n 头儿vn
头m 头n
培训v 培训vn
起诉状n 起诉状t
没有df 没有v
拍卖法n 拍卖法nz
有vx 有v
本场r 本场b
审定v 审定vn
认可vi 认可vn
有vx 有v
扼住v 扼住nrf
疯狂a 疯狂nrg
猖狂a 猖狂vn
战国tt 战国ns
汉Tg 汉jb
隋Tg 隋ns
唐Tg 唐nrf
宋Tg 宋nrf
明Tg 明Ag
清Tg 清a
酒家n 酒家qt
食肆n 食肆f
贺年vn 贺年vi
春茗n 春茗y
冷食品n 冷食品wyz
永昌nz 永昌c
经营v 经营vn
小姐n 小姐nrg
雪糕n 雪糕ul
冰淇淋n 冰淇淋nrf
一两百m 一两百nrg
盒qr 盒wky
有意思la 有意思a
寿星n 寿星nz
冰点n 冰点wd
借贷n 借贷vn
投资n 投资vn
由于p 由于c
持续vn 持续vd
下跌vn 下跌vi
投资n 投资vn
以p 以c
值n 值v
发行vn 发行v
百富勤nz 百富勤ad
７７．５亿m ７７．５亿ul
为vl 为p
为vl 为p
点n 点qe
为vl 为p
成分股n 成分股nz
编制v 编制vn
成分股n 成分股c
调出v 调出nr
调入v 调入nz
深成指j 深成指m
样本股n 样本股qd
成指j 成指n
６·８２m ６·８２qt
１１６６６８７９３m １１６６６８７９３f
ＸＲnx ＸＲqe
３０．７４m ３０．７４wky
水仙nz 水仙n
９．８２m ９．８２wj
消费v 消费vn
以p 以c
润物细无声l 润物细无声nz
为vl 为p
为p 为vl
阳春白雪in 阳春白雪n
下里巴人in 下里巴人a
二重奏n 二重奏nz
因为c 因为p
横贯v 横贯jb
喜马拉雅ns 喜马拉雅vn
喜马拉雅ns 喜马拉雅ul
机长n 机长wu
螺旋桨n 螺旋桨ud
乔克西ns 乔克西vn
当雄ns 当雄nz
架通v 架通vi
波音７０７nz 波音７０７vn
成功an 成功a
首航vn 首航m
机长n 机长qd
首航vi 首航wm
独一无二ib 独一无二f
机长n 机长qd
机务n 机务vn
领航n 领航ns
因为p 因为c
备降vn 备降ul
要求v 要求n
百合nr 百合n
上v 上f
过uo 过v
教练车n 教练车rr
训练v 训练vn
刹车n 刹车vi
学习vn 学习v
错误n 错误a
教练场n 教练场t
可有可无lv 可有可无a
加热vn 加热nrf
器具n 器具nrg
毛发n 毛发vn
监督vn 监督v
２７·３％m ２７·３％iv
进口vn 进口v
抽查v 抽查vn
安全ad 安全an
认证vi 认证vn
通过v 通过p
应v 应vu
外经贸部jn 外经贸部iv
来华vi 来华vn
访问v 访问vn
马可·波罗奖nz 马可·波罗奖vn
樱内nr 樱内ns
促进vn 促进v
度qv 度qd
组团vi 组团wd
相互b 相互d
了解vn 了解v
有vx 有v
稳定vn 稳定a
要求v 要求n
建设v 建设vn
健康a 健康ad
稳定a 稳定v
樱内nr 樱内wj
和平a 和平n
樱内nr 樱内rz
为p 为vl
危重a 危重qe
内科n 内科y
急需vn 急需v
稳定a 稳定vn
地震vi 地震n
投入v 投入vn
近a 近v
１９３１８m １９３１８wu
２．５８m ２．５８nrf
３７４６１６９８m ３７４６１６９８nrg
５０１０m ５０１０wu
交通运输业n 交通运输业jb
３８５１９m ３８５１９jb
７．１m ７．１jb
４２０５７７m ４２０５７７jb
２．１m ２．１jb
０．５３m ０．５３t
培育vn 培育v
为vl 为p
为vl 为p
大中城市j 大中城市nrf
直供直销l 直供直销nrg
旅游vi 旅游vn
集资费n 集资费ns
收费vi 收费vn
代v 代nrf
垫款n 垫款nrg
收费vn 收费vi
照p 照v
要求v 要求n
生活vi 生活vn
去v 去vi
愉愉快快z 愉愉快快d
年n 年qt
筹集vn 筹集v
三结合j 三结合f
困难an 困难a
多a 多m
以c 以p
解困vn 解困v
如v 如c
现有vn 现有v
筹集vn 筹集v
义演vn 义演vi
另d 另rz
有色b 有色ns
有色b 有色ns
发放vn 发放v
以c 以p
温暖vn 温暖an
关怀vn 关怀v
安全部nt 安全部d
执行vn 执行v
要求v 要求n
将p 将d
说明vn 说明v
书面d 书面b
答复v 答复vn
立案vn 立案vi
成立vi 成立v
通知v 通知n
将p 将d
同时d 同时c
通知v 通知n
立案vi 立案vn
将p 将d
立案vn 立案vi
统战部nt 统战部n
庆功vn 庆功ul
同时d 同时c
作为p 作为vl
亨利·谢尔顿nr 亨利·谢尔顿f
通信vi 通信vn
畅通a 畅通vn
神经线n 神经线nz
三时t 三时dc
多m 多a
抢修队n 抢修队wyy
英方n 英方rr
希望v 希望vu
与c 与p
稳定vn 稳定a
高德年nr 高德年wky
北亚ns 北亚wj
次官n 次官nrf
格雷厄姆·弗赖nr 格雷厄姆·弗赖nrg
希望v 希望n
地震vn 地震n
感谢vn 感谢v
随v 随p
国防部n 国防部nt
斯洛科姆nr 斯洛科姆f
侵权vn 侵权ul
规范a 规范v
由于c 由于p
盗版vi 盗版vn
制作vn 制作v
版权n 版权qe
到v 到vq
书报刊n 书报刊wyz
传播业n 传播业Ng
规范vn 规范a
健康ad 健康a
发展v 发展vn
盗版者n 盗版者vq
与c 与p
表彰vn 表彰v
有vx 有v
为vl 为p
为vl 为p
为vl 为p
振兴v 振兴vn
服务v 服务vn
突出v 突出a
有所为有所不为l 有所为有所不为rr
重复性n 重复性ul
荣誉奖n 荣誉奖f
科工贸j 科工贸wd
金桥n 金桥nz
以c 以p
服务v 服务vn
此奖r 此奖rr
助产士n 助产士vn
评审团n 评审团ud
评审v 评审vn
经过v 经过p
推荐奖n 推荐奖ud
荣誉奖n 荣誉奖ud
信誉杯nz 信誉杯ud
合资vn 合资vi
辉瑞nz 辉瑞ud
制药v 制药vn
生产v 生产vn
大扶康nz 大扶康vn
夺标vi 夺标vq
集邮联j 集邮联wj
组织v 组织n
编纂v 编纂vn
集邮史n 集邮史nz
苏人nr 苏人nz
牵制v 牵制vn
优先vn 优先v
赫尔佐克nr 赫尔佐克d
出口商n 出口商t
商业局n 商业局t
１８·１１％m １８·１１％ns
１０·４３％m １０·４３％vn
预测v 预测vn
到p 到v
有vx 有v
报道n 报道v
和p 和c
谈判v 谈判vn
７４７—４００nx ７４７—４００a
确定a 确定v
马航j 马航rr
韩jb 韩nrf
当选v 当选nrg
稳定v 稳定a
回答v 回答vn
出口v 出口vn
以c 以p
外国货n 外国货a
